Data;AnoMes;Ano;Mes;Nome_Mes;Base_dias_uteis
01/01/1983;198301;1983;1;January;21
01/02/1983;198302;1983;2;February;21
01/03/1983;198303;1983;3;March;21
01/04/1983;198304;1983;4;April;21
01/05/1983;198305;1983;5;May;21
01/06/1983;198306;1983;6;June;21
01/07/1983;198307;1983;7;July;21
01/08/1983;198308;1983;8;August;21
01/09/1983;198309;1983;9;September;21
01/10/1983;198310;1983;10;October;21
01/11/1983;198311;1983;11;November;21
01/12/1983;198312;1983;12;December;21
01/01/1984;198401;1984;1;January;21
01/02/1984;198402;1984;2;February;21
01/03/1984;198403;1984;3;March;21
01/04/1984;198404;1984;4;April;21
01/05/1984;198405;1984;5;May;21
01/06/1984;198406;1984;6;June;21
01/07/1984;198407;1984;7;July;21
01/08/1984;198408;1984;8;August;21
01/09/1984;198409;1984;9;September;21
01/10/1984;198410;1984;10;October;21
01/11/1984;198411;1984;11;November;21
01/12/1984;198412;1984;12;December;21
01/01/1985;198501;1985;1;January;21
01/02/1985;198502;1985;2;February;21
01/03/1985;198503;1985;3;March;21
01/04/1985;198504;1985;4;April;21
01/05/1985;198505;1985;5;May;21
01/06/1985;198506;1985;6;June;21
01/07/1985;198507;1985;7;July;21
01/08/1985;198508;1985;8;August;21
01/09/1985;198509;1985;9;September;21
01/10/1985;198510;1985;10;October;21
01/11/1985;198511;1985;11;November;21
01/12/1985;198512;1985;12;December;21
01/01/1986;198601;1986;1;January;21
01/02/1986;198602;1986;2;February;21
01/03/1986;198603;1986;3;March;21
01/04/1986;198604;1986;4;April;21
01/05/1986;198605;1986;5;May;21
01/06/1986;198606;1986;6;June;21
01/07/1986;198607;1986;7;July;21
01/08/1986;198608;1986;8;August;21
01/09/1986;198609;1986;9;September;21
01/10/1986;198610;1986;10;October;21
01/11/1986;198611;1986;11;November;21
01/12/1986;198612;1986;12;December;21
01/01/1987;198701;1987;1;January;21
01/02/1987;198702;1987;2;February;21
01/03/1987;198703;1987;3;March;21
01/04/1987;198704;1987;4;April;21
01/05/1987;198705;1987;5;May;21
01/06/1987;198706;1987;6;June;21
01/07/1987;198707;1987;7;July;21
01/08/1987;198708;1987;8;August;21
01/09/1987;198709;1987;9;September;21
01/10/1987;198710;1987;10;October;21
01/11/1987;198711;1987;11;November;21
01/12/1987;198712;1987;12;December;21
01/01/1988;198801;1988;1;January;21
01/02/1988;198802;1988;2;February;21
01/03/1988;198803;1988;3;March;21
01/04/1988;198804;1988;4;April;21
01/05/1988;198805;1988;5;May;21
01/06/1988;198806;1988;6;June;21
01/07/1988;198807;1988;7;July;21
01/08/1988;198808;1988;8;August;21
01/09/1988;198809;1988;9;September;21
01/10/1988;198810;1988;10;October;21
01/11/1988;198811;1988;11;November;21
01/12/1988;198812;1988;12;December;21
01/01/1989;198901;1989;1;January;21
01/02/1989;198902;1989;2;February;21
01/03/1989;198903;1989;3;March;21
01/04/1989;198904;1989;4;April;21
01/05/1989;198905;1989;5;May;21
01/06/1989;198906;1989;6;June;21
01/07/1989;198907;1989;7;July;21
01/08/1989;198908;1989;8;August;21
01/09/1989;198909;1989;9;September;21
01/10/1989;198910;1989;10;October;21
01/11/1989;198911;1989;11;November;21
01/12/1989;198912;1989;12;December;21
01/01/1990;199001;1990;1;January;21
01/02/1990;199002;1990;2;February;21
01/03/1990;199003;1990;3;March;21
01/04/1990;199004;1990;4;April;21
01/05/1990;199005;1990;5;May;21
01/06/1990;199006;1990;6;June;21
01/07/1990;199007;1990;7;July;21
01/08/1990;199008;1990;8;August;21
01/09/1990;199009;1990;9;September;21
01/10/1990;199010;1990;10;October;21
01/11/1990;199011;1990;11;November;21
01/12/1990;199012;1990;12;December;21
01/01/1991;199101;1991;1;January;21
01/02/1991;199102;1991;2;February;21
01/03/1991;199103;1991;3;March;21
01/04/1991;199104;1991;4;April;21
01/05/1991;199105;1991;5;May;21
01/06/1991;199106;1991;6;June;21
01/07/1991;199107;1991;7;July;21
01/08/1991;199108;1991;8;August;21
01/09/1991;199109;1991;9;September;21
01/10/1991;199110;1991;10;October;21
01/11/1991;199111;1991;11;November;21
01/12/1991;199112;1991;12;December;21
01/01/1992;199201;1992;1;January;21
01/02/1992;199202;1992;2;February;21
01/03/1992;199203;1992;3;March;21
01/04/1992;199204;1992;4;April;21
01/05/1992;199205;1992;5;May;21
01/06/1992;199206;1992;6;June;21
01/07/1992;199207;1992;7;July;21
01/08/1992;199208;1992;8;August;21
01/09/1992;199209;1992;9;September;21
01/10/1992;199210;1992;10;October;21
01/11/1992;199211;1992;11;November;21
01/12/1992;199212;1992;12;December;21
01/01/1993;199301;1993;1;January;21
01/02/1993;199302;1993;2;February;21
01/03/1993;199303;1993;3;March;21
01/04/1993;199304;1993;4;April;21
01/05/1993;199305;1993;5;May;21
01/06/1993;199306;1993;6;June;21
01/07/1993;199307;1993;7;July;21
01/08/1993;199308;1993;8;August;21
01/09/1993;199309;1993;9;September;21
01/10/1993;199310;1993;10;October;21
01/11/1993;199311;1993;11;November;21
01/12/1993;199312;1993;12;December;21
01/01/1994;199401;1994;1;January;21
01/02/1994;199402;1994;2;February;21
01/03/1994;199403;1994;3;March;21
01/04/1994;199404;1994;4;April;21
01/05/1994;199405;1994;5;May;21
01/06/1994;199406;1994;6;June;21
01/07/1994;199407;1994;7;July;21
01/08/1994;199408;1994;8;August;21
01/09/1994;199409;1994;9;September;21
01/10/1994;199410;1994;10;October;21
01/11/1994;199411;1994;11;November;21
01/12/1994;199412;1994;12;December;21
01/01/1995;199501;1995;1;January;21
01/02/1995;199502;1995;2;February;21
01/03/1995;199503;1995;3;March;21
01/04/1995;199504;1995;4;April;21
01/05/1995;199505;1995;5;May;21
01/06/1995;199506;1995;6;June;21
01/07/1995;199507;1995;7;July;21
01/08/1995;199508;1995;8;August;21
01/09/1995;199509;1995;9;September;21
01/10/1995;199510;1995;10;October;21
01/11/1995;199511;1995;11;November;21
01/12/1995;199512;1995;12;December;21
01/01/1996;199601;1996;1;January;21
01/02/1996;199602;1996;2;February;21
01/03/1996;199603;1996;3;March;21
01/04/1996;199604;1996;4;April;21
01/05/1996;199605;1996;5;May;21
01/06/1996;199606;1996;6;June;21
01/07/1996;199607;1996;7;July;21
01/08/1996;199608;1996;8;August;21
01/09/1996;199609;1996;9;September;21
01/10/1996;199610;1996;10;October;21
01/11/1996;199611;1996;11;November;21
01/12/1996;199612;1996;12;December;21
01/01/1997;199701;1997;1;January;21
01/02/1997;199702;1997;2;February;21
01/03/1997;199703;1997;3;March;21
01/04/1997;199704;1997;4;April;21
01/05/1997;199705;1997;5;May;21
01/06/1997;199706;1997;6;June;21
01/07/1997;199707;1997;7;July;21
01/08/1997;199708;1997;8;August;21
01/09/1997;199709;1997;9;September;21
01/10/1997;199710;1997;10;October;21
01/11/1997;199711;1997;11;November;21
01/12/1997;199712;1997;12;December;21
01/01/1998;199801;1998;1;January;21
01/02/1998;199802;1998;2;February;21
01/03/1998;199803;1998;3;March;21
01/04/1998;199804;1998;4;April;21
01/05/1998;199805;1998;5;May;21
01/06/1998;199806;1998;6;June;21
01/07/1998;199807;1998;7;July;21
01/08/1998;199808;1998;8;August;21
01/09/1998;199809;1998;9;September;21
01/10/1998;199810;1998;10;October;21
01/11/1998;199811;1998;11;November;21
01/12/1998;199812;1998;12;December;21
01/01/1999;199901;1999;1;January;21
01/02/1999;199902;1999;2;February;21
01/03/1999;199903;1999;3;March;21
01/04/1999;199904;1999;4;April;21
01/05/1999;199905;1999;5;May;21
01/06/1999;199906;1999;6;June;21
01/07/1999;199907;1999;7;July;21
01/08/1999;199908;1999;8;August;21
01/09/1999;199909;1999;9;September;21
01/10/1999;199910;1999;10;October;21
01/11/1999;199911;1999;11;November;21
01/12/1999;199912;1999;12;December;21
01/01/2000;200001;2000;1;January;21
01/02/2000;200002;2000;2;February;21
01/03/2000;200003;2000;3;March;21
01/04/2000;200004;2000;4;April;21
01/05/2000;200005;2000;5;May;21
01/06/2000;200006;2000;6;June;21
01/07/2000;200007;2000;7;July;21
01/08/2000;200008;2000;8;August;21
01/09/2000;200009;2000;9;September;21
01/10/2000;200010;2000;10;October;21
01/11/2000;200011;2000;11;November;21
01/12/2000;200012;2000;12;December;21
01/01/2001;200101;2001;1;January;21
01/02/2001;200102;2001;2;February;21
01/03/2001;200103;2001;3;March;21
01/04/2001;200104;2001;4;April;21
01/05/2001;200105;2001;5;May;21
01/06/2001;200106;2001;6;June;21
01/07/2001;200107;2001;7;July;21
01/08/2001;200108;2001;8;August;21
01/09/2001;200109;2001;9;September;21
01/10/2001;200110;2001;10;October;21
01/11/2001;200111;2001;11;November;21
01/12/2001;200112;2001;12;December;21
01/01/2002;200201;2002;1;January;21
01/02/2002;200202;2002;2;February;21
01/03/2002;200203;2002;3;March;21
01/04/2002;200204;2002;4;April;21
01/05/2002;200205;2002;5;May;21
01/06/2002;200206;2002;6;June;21
01/07/2002;200207;2002;7;July;21
01/08/2002;200208;2002;8;August;21
01/09/2002;200209;2002;9;September;21
01/10/2002;200210;2002;10;October;21
01/11/2002;200211;2002;11;November;21
01/12/2002;200212;2002;12;December;21
01/01/2003;200301;2003;1;January;21
01/02/2003;200302;2003;2;February;21
01/03/2003;200303;2003;3;March;21
01/04/2003;200304;2003;4;April;21
01/05/2003;200305;2003;5;May;21
01/06/2003;200306;2003;6;June;21
01/07/2003;200307;2003;7;July;21
01/08/2003;200308;2003;8;August;21
01/09/2003;200309;2003;9;September;21
01/10/2003;200310;2003;10;October;21
01/11/2003;200311;2003;11;November;21
01/12/2003;200312;2003;12;December;21
01/01/2004;200401;2004;1;January;21
01/02/2004;200402;2004;2;February;21
01/03/2004;200403;2004;3;March;21
01/04/2004;200404;2004;4;April;21
01/05/2004;200405;2004;5;May;21
01/06/2004;200406;2004;6;June;21
01/07/2004;200407;2004;7;July;21
01/08/2004;200408;2004;8;August;21
01/09/2004;200409;2004;9;September;21
01/10/2004;200410;2004;10;October;21
01/11/2004;200411;2004;11;November;21
01/12/2004;200412;2004;12;December;21
01/01/2005;200501;2005;1;January;21
01/02/2005;200502;2005;2;February;21
01/03/2005;200503;2005;3;March;21
01/04/2005;200504;2005;4;April;21
01/05/2005;200505;2005;5;May;21
01/06/2005;200506;2005;6;June;21
01/07/2005;200507;2005;7;July;21
01/08/2005;200508;2005;8;August;21
01/09/2005;200509;2005;9;September;21
01/10/2005;200510;2005;10;October;21
01/11/2005;200511;2005;11;November;21
01/12/2005;200512;2005;12;December;21
01/01/2006;200601;2006;1;January;21
01/02/2006;200602;2006;2;February;21
01/03/2006;200603;2006;3;March;21
01/04/2006;200604;2006;4;April;21
01/05/2006;200605;2006;5;May;21
01/06/2006;200606;2006;6;June;21
01/07/2006;200607;2006;7;July;21
01/08/2006;200608;2006;8;August;21
01/09/2006;200609;2006;9;September;21
01/10/2006;200610;2006;10;October;21
01/11/2006;200611;2006;11;November;21
01/12/2006;200612;2006;12;December;21
01/01/2007;200701;2007;1;January;21
01/02/2007;200702;2007;2;February;21
01/03/2007;200703;2007;3;March;21
01/04/2007;200704;2007;4;April;21
01/05/2007;200705;2007;5;May;21
01/06/2007;200706;2007;6;June;21
01/07/2007;200707;2007;7;July;21
01/08/2007;200708;2007;8;August;21
01/09/2007;200709;2007;9;September;21
01/10/2007;200710;2007;10;October;21
